;date;description;id;title;url
https://news.yandex.ru/story/Minfin_anonsiroval_ezhemesyachnye_aukciony_po_razmeshheniyu_inflyacionnykh_OFZ--d552fe68dd7a2e9c0ee350a1be5a17bb?lang=ru&from=rss&stid=J_QPstH7cEmmtP81TOZ8;2018-12-11 17:18:27;Министерство финансов России 12 декабря проведёт аукцион по размещению облигаций федерального займа. Об этом сообщает пресс-служба ведомства. Как уточняется, Минфин разместит ОФЗ с постоянным купонным доходом выпуска №25 083 в объёме 16 млрд 179 млн рублей с датой погашения 15 декабря 2021 года.;https://news.yandex.ru/story/Minfin_anonsiroval_ezhemesyachnye_aukciony_po_razmeshheniyu_inflyacionnykh_OFZ--d552fe68dd7a2e9c0ee350a1be5a17bb?lang=ru&from=rss&stid=J_QPstH7cEmmtP81TOZ8;Минфин анонсировал ежемесячные аукционы по размещению инфляционных ОФЗ;https://news.yandex.ru/story/Minfin_anonsiroval_ezhemesyachnye_aukciony_po_razmeshheniyu_inflyacionnykh_OFZ--d552fe68dd7a2e9c0ee350a1be5a17bb?lang=ru&from=rss&stid=J_QPstH7cEmmtP81TOZ8
https://news.yandex.ru/story/Rybolovam_proschitali_goskontrol--6770b9fe53564edc695b7b761a394c21?lang=ru&from=rss&stid=KmDZ;2018-12-11 22:27:00;Избыточное регулирование стоит отрасли 17 млрд рублей в год Анализ регуляторной политики в рыбопромышленной отрасли аналитики ВШЭ провели при содействии Всероссийской ассоциации рыбопромышленников (ВАРПЭ) с августа по декабрь 2018 года.;https://news.yandex.ru/story/Rybolovam_proschitali_goskontrol--6770b9fe53564edc695b7b761a394c21?lang=ru&from=rss&stid=KmDZ;Рыболовам просчитали госконтроль;https://news.yandex.ru/story/Rybolovam_proschitali_goskontrol--6770b9fe53564edc695b7b761a394c21?lang=ru&from=rss&stid=KmDZ
https://news.yandex.ru/story/Naftogaz_rasschityvaet_na_tekhasskoe_pravosudie--9c37b8d99b9083809976f98b510c24dd?lang=ru&from=rss&stid=aHx7s2dQMYZGfqa7FQCr;2018-12-11 22:27:00;"&quot;Газпром&quot; отказался от комментариев. С начала лета «Нафтогаз» пытается принудительно взыскать с «Газпрома» $2,6 млрд во исполнение решения Стокгольмского арбитража -- в Швейцарии, Великобритании и Нидерландах.";https://news.yandex.ru/story/Naftogaz_rasschityvaet_na_tekhasskoe_pravosudie--9c37b8d99b9083809976f98b510c24dd?lang=ru&from=rss&stid=aHx7s2dQMYZGfqa7FQCr;«Нафтогаз» рассчитывает на техасское правосудие;https://news.yandex.ru/story/Naftogaz_rasschityvaet_na_tekhasskoe_pravosudie--9c37b8d99b9083809976f98b510c24dd?lang=ru&from=rss&stid=aHx7s2dQMYZGfqa7FQCr
https://news.yandex.ru/story/Cena_evropejskogo_gaza_dlya_Ukrainy_ustanovila_rekord--b48109b036fe5ecf3bf5b300f93a54f4?lang=ru&from=rss&stid=yHquItoiywwctU2D4R3E;2018-12-11 22:27:23;В ноябре средняя цена тысячи кубометров импорта природного газа для Украины составила 339 долларов, сообщает УНИАН со ссылкой на данные Государственной фискальной службы. При этом за месяц до этого газ из-за рубежа обходился Украине в сумму около 323 доллара за тысячу кубометров.;https://news.yandex.ru/story/Cena_evropejskogo_gaza_dlya_Ukrainy_ustanovila_rekord--b48109b036fe5ecf3bf5b300f93a54f4?lang=ru&from=rss&stid=yHquItoiywwctU2D4R3E;Цена европейского газа для Украины установила рекорд;https://news.yandex.ru/story/Cena_evropejskogo_gaza_dlya_Ukrainy_ustanovila_rekord--b48109b036fe5ecf3bf5b300f93a54f4?lang=ru&from=rss&stid=yHquItoiywwctU2D4R3E
https://news.yandex.ru/story/Mikhelson_zayavil_o_davlenii_Zapada_na_Norvegiyu_iz-za_rossijskogo_gaza--1848608eee849cab6006c77f15ca93a9?lang=ru&from=rss&stid=BMKiASLytNL29qbQO_ba;2018-12-11 20:29:24;НОВАТЭК попросил ускорить строительство и ввод в Мурманске терминала для перевалки российского газа, так как перегрузка сжиженного газа с действующего завода «Ямал СПГ» в Норвегии стала причиной давления на эту страны со стороны западных партнеров.;https://news.yandex.ru/story/Mikhelson_zayavil_o_davlenii_Zapada_na_Norvegiyu_iz-za_rossijskogo_gaza--1848608eee849cab6006c77f15ca93a9?lang=ru&from=rss&stid=BMKiASLytNL29qbQO_ba;Михельсон заявил о давлении Запада на Норвегию из-за российского газа;https://news.yandex.ru/story/Mikhelson_zayavil_o_davlenii_Zapada_na_Norvegiyu_iz-za_rossijskogo_gaza--1848608eee849cab6006c77f15ca93a9?lang=ru&from=rss&stid=BMKiASLytNL29qbQO_ba
https://news.yandex.ru/story/Putin_prodlil_zamorozku_nakopitelnoj_pensii_eshhe_na_god--ffa4975e9a8c39399aa3f7780cfdecd0?lang=ru&from=rss&stid=FGGERElU6H32fG6NJy3U;2018-12-11 18:01:39;Президент России Владимир Путин подписал указ о продлении заморозки накопительной пенсии до 2021 года. Соответствующий документ опубликован на интернет-портале правовой информации.;https://news.yandex.ru/story/Putin_prodlil_zamorozku_nakopitelnoj_pensii_eshhe_na_god--ffa4975e9a8c39399aa3f7780cfdecd0?lang=ru&from=rss&stid=FGGERElU6H32fG6NJy3U;Путин продлил заморозку накопительной пенсии еще на год;https://news.yandex.ru/story/Putin_prodlil_zamorozku_nakopitelnoj_pensii_eshhe_na_god--ffa4975e9a8c39399aa3f7780cfdecd0?lang=ru&from=rss&stid=FGGERElU6H32fG6NJy3U
https://news.yandex.ru/story/Kitaj_realizuet_obeshhannoe_snizhenie_poshlin_na_amerikanskie_avto--2773ac9a8357551b7446ac56bdebc4df?lang=ru&from=rss&stid=nIvddENg_az1Sj5SS1gV;2018-12-11 12:47:00;Китай предпринимает шаги по снижению пошлин на ввоз автомобилей американского производства в качестве уступки, о которой объявил президент США Дональд Трамп после торговых переговоров в Аргентине, сообщили источники Bloomberg, знакомые с вопросом.;https://news.yandex.ru/story/Kitaj_realizuet_obeshhannoe_snizhenie_poshlin_na_amerikanskie_avto--2773ac9a8357551b7446ac56bdebc4df?lang=ru&from=rss&stid=nIvddENg_az1Sj5SS1gV;Китай реализует обещанное снижение пошлин на американские авто;https://news.yandex.ru/story/Kitaj_realizuet_obeshhannoe_snizhenie_poshlin_na_amerikanskie_avto--2773ac9a8357551b7446ac56bdebc4df?lang=ru&from=rss&stid=nIvddENg_az1Sj5SS1gV
https://news.yandex.ru/story/CB_chistyj_ottok_kapitala_iz_Rossii_za_11_mesyacev_vyros_v_33_raza--316182302686936631f29e3624d670b1?lang=ru&from=rss&stid=Xe9_bCrwMKb_QyR47ii9;2018-12-11 13:12:10;Чистый вывоз капитала из России частным сектором, по предварительной оценке ЦБ РФ, вырос в январе - ноябре 2018 года в 3,3 раза по сравнению с показателем за аналогичный период предыдущего года и достиг $58,5 млрд. Об этом говорится в сообщении регулятора.;https://news.yandex.ru/story/CB_chistyj_ottok_kapitala_iz_Rossii_za_11_mesyacev_vyros_v_33_raza--316182302686936631f29e3624d670b1?lang=ru&from=rss&stid=Xe9_bCrwMKb_QyR47ii9;ЦБ: чистый отток капитала из России за 11 месяцев вырос в 3,3 раза;https://news.yandex.ru/story/CB_chistyj_ottok_kapitala_iz_Rossii_za_11_mesyacev_vyros_v_33_raza--316182302686936631f29e3624d670b1?lang=ru&from=rss&stid=Xe9_bCrwMKb_QyR47ii9
https://news.yandex.ru/story/Gref_zayavil_o_vozmozhnoj_smene_nazvaniya_Sberbanka--4afd5e639ccacc43387f4de699871aa2?lang=ru&from=rss&stid=VxYn87z3jY7LzI8huqi9;2018-12-11 13:56:16;"Сбербанк все больше становится технологической компанией, поэтому не исключена смена названия, заявил Герман Греф. При этом глава компании уточнил, что финансовое подразделение сохранит название &quot;банк&quot;, как того требует закон.";https://news.yandex.ru/story/Gref_zayavil_o_vozmozhnoj_smene_nazvaniya_Sberbanka--4afd5e639ccacc43387f4de699871aa2?lang=ru&from=rss&stid=VxYn87z3jY7LzI8huqi9;Греф заявил о возможной смене названия Сбербанка;https://news.yandex.ru/story/Gref_zayavil_o_vozmozhnoj_smene_nazvaniya_Sberbanka--4afd5e639ccacc43387f4de699871aa2?lang=ru&from=rss&stid=VxYn87z3jY7LzI8huqi9
https://news.yandex.ru/story/YAmal_SPG_vyshel_na_polnuyu_proektnuyu_moshhnost--a5b15f3fec2b7b619b0bb989a757d5f3?lang=ru&from=rss&stid=PRTFScd9QyB_6hUdFrsX;2018-12-11 13:04:40;Завод «Ямал СПГ» («дочка» «НОВАТЭКа») запустил третью производственную очередь и вышел на проектные объемы производства в 16,5 млн тонн сжиженного природного газа. Церемония запуска состоялась во вторник, 11 декабря, сообщает РИА «Новости».;https://news.yandex.ru/story/YAmal_SPG_vyshel_na_polnuyu_proektnuyu_moshhnost--a5b15f3fec2b7b619b0bb989a757d5f3?lang=ru&from=rss&stid=PRTFScd9QyB_6hUdFrsX;«Ямал СПГ» вышел на полную проектную мощность;https://news.yandex.ru/story/YAmal_SPG_vyshel_na_polnuyu_proektnuyu_moshhnost--a5b15f3fec2b7b619b0bb989a757d5f3?lang=ru&from=rss&stid=PRTFScd9QyB_6hUdFrsX
